"Indicator.Code","Indicator.Name"
"UIS.NERA.2","Adjusted net enrolment rate, lower secondary, both sexes (%)"
"UIS.NERA.2.F","Adjusted net enrolment rate, lower secondary, female (%)"
"UIS.NERA.2.GPI","Adjusted net enrolment rate, lower secondary, gender parity index (GPI)"
"UIS.NERA.2.M","Adjusted net enrolment rate, lower secondary, male (%)"
"SE.PRM.TENR","Adjusted net enrolment rate, primary, both sexes (%)"
"SE.PRM.TENR.FE","Adjusted net enrolment rate, primary, female (%)"
"UIS.NERA.1.GPI","Adjusted net enrolment rate, primary, gender parity index (GPI)"
"SE.PRM.TENR.MA","Adjusted net enrolment rate, primary, male (%)"
"UIS.NERA.3","Adjusted net enrolment rate, upper secondary, both sexes (%)"
"UIS.NERA.3.F","Adjusted net enrolment rate, upper secondary, female (%)"
"UIS.NERA.3.GPI","Adjusted net enrolment rate, upper secondary, gender parity index (GPI)"
"UIS.NERA.3.M","Adjusted net enrolment rate, upper secondary, male (%)"
"UIS.NIRA.1","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)"
"UIS.NIRA.1.F","Adjusted net intake rate to Grade 1 of primary education, female (%)"
"UIS.NIRA.1.GPI","Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)"
"UIS.NIRA.1.M","Adjusted net intake rate to Grade 1 of primary education, male (%)"
"UIS.LPP.AG15T99","Adult illiterate population, 15+ years, % female"
"UIS.LP.AG15T99","Adult illiterate population, 15+ years, both sexes (number)"
"UIS.LP.AG15T99.F","Adult illiterate population, 15+ years, female (number)"
"UIS.LP.AG15T99.M","Adult illiterate population, 15+ years, male (number)"
"SE.ADT.LITR.ZS","Adult literacy rate, population 15+ years, both sexes (%)"
"SE.ADT.LITR.FE.ZS","Adult literacy rate, population 15+ years, female (%)"
"UIS.LR.AG15T99.GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)"
"SE.ADT.LITR.MA.ZS","Adult literacy rate, population 15+ years, male (%)"
"UIS.AFR.AGRADMG.1.PU","Africa Dataset: Average number of grades per multigrade class in primary schools (number of grades)"
